,attribution,count
demand,-0.07690214796103254,1
already,0.11579267971193936,1
doom,0.10766264870078206,1
cold,0.02115163790947738,1
see,-0.07620596496540517,3
hellbent,0.016035853983014926,1
late,-0.04629792196454469,2
now,-0.05638939928591169,3
castigate,0.011012221771347992,1
Lafayette,0.01606053646329776,1
what,0.013146428401948799,1
ill,0.011338737872042553,1
bible,0.009697630931583785,1
wildly,0.050424864353847354,3
New,-0.020783568522852576,4
men,0.03172788124988142,1
allege,-0.20101162211815454,1
after,-0.1340520337586968,3
direct,0.018681237469978365,1
into,-0.003872178089141922,3
imagine,0.01321382544157983,1
break,0.011438386599589593,1
1773,0.01111997007057217,1
communist,0.01980806324510557,1
debasement,0.01581398337304025,1
deceitfulness,0.011121698757278,1
outrage,0.3704740261928087,1
broke,-0.175674201966872,2
journalist,-0.13520558529296064,1
quarantine,0.11191572030716157,1
her,0.06540183995067458,1
shtick,0.03481592241851619,1
sob,0.029693080512628693,1
serious,0.02627837097031291,1
Democratic,0.025449083783046778,1
shock,0.022933057547649544,1
proposal,-0.11725554709532753,3
muscle,0.037998170599484876,1
success,0.13844502957994215,1
try,-0.0581291182979393,1
cheer,0.25699226531755026,1
trading,-0.19287175309856713,1
begin,-0.09503266782281299,3
raucous,0.10857583168635222,1
draconian,0.3327207233653333,3
them,0.06989136049150307,3
country,-0.04426586426514428,2
come,0.09568503686785965,2
brasher,0.22101488872149072,1
skeptic,0.18101794752312395,2
shamelessness,0.025966614240613483,1
Bloomberg,0.022985033193491794,2
safety,0.038136032552604816,1
irrelevant,0.035836404760016954,1
arbitrary,0.03512853775559271,1
legal,0.02782492784598736,1
violent,0.038569210081395036,1
over,0.08153647331930097,1
mouth,0.07693193939355403,2
foam,0.06802481357423142,1
watchdog,0.05375911891737414,1
also,-0.07944676755344016,4
Chinese,0.02224424090105513,1
independent,0.021466417603495328,1
retweeted,-0.1844175215958247,1
rebuke,0.13531566984096163,1
one,-0.03239512617903414,2
unaccountable,0.0313817584706808,1
position,0.021031753735434724,1
A,-0.016752071954594844,3
five,-0.2748076514980848,1
reality,0.18038099245770448,1
dash,0.04440157123551958,1
allow,-0.033818606891953484,4
antisemitic,0.26751494326401504,1
ardently,0.09969986781119478,1
March,0.08387356124070397,1
start,0.07984465155921115,2
mess,0.45718319503992527,1
foul,0.1089297996301523,1
result,-0.0721323796658427,1
year,-0.07500160948911186,2
blown,0.24192685698789246,1
sin,0.11867112435890685,2
ish,0.14127079798177555,1
grovel,0.13485840810293198,1
brutal,0.15542475923713248,2
000,0.10486461598301683,1
fallacious,0.1917784161786297,1
invalidates,0.062041107579663975,1
correctness,0.06143132452594097,1
Unfortunately,0.056694841957904155,1
oversized,0.051604314756483353,1
virtually,-0.024794052118586415,1
So,0.01240904412867816,2
President,-0.03828841883720743,2
cure,0.01360568581614338,1
oneself,0.010502409443680315,1
reveals,-0.15731975719487004,1
account,-0.15114608138203403,1
easily,0.12060035311149706,1
deride,-0.04593177921176422,2
Denver,0.11607986911268103,1
little,0.020383574088222407,2
half,0.014980282442094593,1
needle,0.15409250248775308,2
brick,0.011188851920678766,1
compare,-0.043643726028318335,2
actual,0.006465838297669522,1
never,0.004896732640198114,1
propagandist,0.20897258829530546,1
told,-0.07019294278992465,3
exactly,0.08658663002758865,2
migrant,-0.0034501322268947663,3
observer,-0.06753515377654776,1
courage,0.010663330984293364,1
pee,0.010520301110364016,1
restriction,-0.09177674246748066,1
litigator,0.08461307334812336,1
indulge,0.02905563110158041,1
gambit,0.02407883214259701,1
Republicans,0.03357800790582713,6
cause,-0.07473871756503266,2
Deal,-0.062370030603296794,1
demonization,0.046098908163808454,1
outsider,0.04518846226348103,1
sadly,0.04196564850713007,1
circus,0.03611615664239004,1
sicken,0.02405756820756376,1
fail,0.03459818628293945,3
coverage,-0.01875171594348035,1
accuse,-0.1373091231913681,4
An,-0.10828438458932226,2
breath,0.06514762619878037,1
strategy,0.061184367411128864,1
society,0.05299803810942584,1
other,0.008034329482532736,2
request,-0.08986492171614993,1
rag,0.08030813028054389,1
hater,0.07174393671224567,1
tweet,0.005555859498021533,3
slave,0.04663234165006046,1
deliver,-0.08584665817151822,1
fierce,-0.06011576498942118,1
love,0.15019602820363487,1
instance,0.023652526937178796,2
under,-0.1750360721973988,2
expert,-0.14962049007180972,1
survey,-0.13214187875295713,1
activism,-0.17890708375807943,1
fight,-0.15611991709610118,2
organizes,-0.16181241380594577,1
depression,0.08563804848313988,1
party,0.032066338014374744,1
bloat,0.19929050745114826,1
unsustainable,0.10788235708043825,1
trillion,-0.03500073053759029,1
5,0.028403082300480345,1
exorbitant,0.40041501735519847,1
price,-0.09718571590006694,1
obtain,-0.07507710972344593,1
junky,0.14141667600020832,1
bust,0.11689770268127662,1
bracket,-0.08256017777573646,1
offering,-0.07826791148536111,1
ducked,0.17506240341119586,1
decide,0.08996646542680163,1
graduate,-0.11515559962225849,1
wedding,-0.1056735881505134,1
since,-0.08016353820294399,1
basic,0.03818179992110773,1
astonish,0.025817251746770294,1
defenseless,0.0412461348999776,1
power,0.07101163268341527,2
hungry,0.02628456071474766,1
crusader,0.0732068996469673,1
anti,0.09334762566363797,5
vaccine,0.0693414703977407,5
How,0.06264794618957063,2
run,-0.09050623356449623,2
still,-0.13004623898779286,1
distraction,0.051309064802965695,1
inequality,-0.0007475260894549557,2
blunder,0.09072932058177642,1
theory,0.03318239713127096,1
test,-0.022351137298806816,1
inflammatory,0.24127851257864838,1
deliberately,0.03504855543887747,1
downplay,0.032019361900764425,1
